Id (Donation Items),Donation Id,Description,Quantity
2564,2034,Cases pretzels,3
2565,2034,Case packaged peanutbutter,1
2566,2040,Bananas,1260
2568,2040,cocktail cukes,2760
2570,2043,Produce ,2
2571,2043,Baked goods,2
2572,2044,Kind Bars,20
2573,2045,Prepared Food,2
2575,2047,Baked goods,2
2576,2047,Produce ,2
2579,2050,Produce ,3
2583,2054,Baked goods,3
2592,2057,Cucumbers,8
2607,2072,Produce ,2
2608,2072,Baked goods,2
2609,2073,Bagels,3
2611,2075,Produce ,2
2612,2076,Baked goods,2
2615,2078,Produce ,3
2621,2040,Cases bananas,2
2651,2099,Large bags brocolli,2
2668,2117,Bagels,3
2669,2118,Produce ,2
2670,2119, juice,40
2671,2120,Baked goods,3
2676,2125,Produce ,3
2677,2126,Produce ,3
2678,2127,Baked goods,3
2684,2133,Prepared Food,3
2685,2134,Cold meals,3
2687,2136,Prepared Food,5
2690,2139,Bread,6
2733,2169,Tomatoes,1
2770,2204,"Leftover breakfast and lunch food (eggs, bacon, sausages, quinoa salad and sandwiches) ",8
2796,2223,produce,3
2797,2223,Baked Goods,3
2798,2224,bagels,3
2799,2225,bagels,2
2800,2226,produce,3
2801,2227,bread,3
2806,2231,produce,2
2807,2232,produce,2
2808,2232,Baked Goods,2
2809,2224,Large bag of bagels,1
2810,2233,produce,2
2811,2233,Baked Goods,2
2812,2234,produce,2
2813,2234,Baked Goods,2
2814,2235,prepared food,4
2816,2237,prepared food,3
2822,2243,prepared food (hotdogs and hamburgers),6
2829,2245,2 Very Large bags of bread,2
2845,2257,Hamburgers,50
2846,2257,Hor dogs,70
2867,2281,loaves of bread (individual loaves on racks) 1 rack equal 200 loaves***,1800
2869,2283,Bagels,3
2870,2284,Produce ,3
2871,2285,Baked goods,3
2872,2286,Baked goods,3
2878,2292,Produce ,252
2879,2293,Bar Soap,16
2881,2295,Prepared Food,3
2885,2299,Prepared Food,3
2886,2300,Cold meals,3
2887,2301,Bar Soap,10
2891,2304,Produce (CSA share),1
2914,2318,Tray of salad,3
2915,2318,To-go packages of chicken,4
2916,2318,Baguettes,6
2917,2318,Case of soda/iced tea,3
2918,2318,Pastry tray,1
2919,2325,prepared food,3
2922,2328,prepared food,2
2923,2329,Pastries,20
2925,2322,Case misc produce,8
2950,2347,Produce ,3
2951,2348,Produce ,3
2952,2349,Produce ,2
2953,2349,Baked goods,2
2954,2350,Produce ,2
2955,2351,Produce ,6
2956,2352,Produce ,4
2957,2353,6,3
2962,2357,Produce ,2
2963,2357,Baked goods,2
2965,2359,Baked goods,3
2966,2360,Bread,2
2968,2362,Produce,10
2969,2362,Bread,10
2971,2364,Produce ,2
2972,2365,Produce ,2
2973,2365,Baked goods,2
2974,2366,cases of carrots,3
2975,2367,salad mix and yogurt,12
2976,2368,Prepared Food,3
2977,2369,Breakfast sausage,1
2978,2370,Produce ,4
2979,2371,Produce ,2
2980,2371,Baked goods,2
2982,2372,Baked goods,2
2983,2373,Baked goods,2
