Id (Donation Items),Donation Id,Description,Quantity
36343,22082,Box loaf bread & buns,1
36344,22082,"Box bagged salad mix, bagged spinach & bagged baby carrots",1
36345,22082,"Box eggs, yogurt & cheese",1
36346,22082,Case cracker snacks,1
36347,22082,12pk gatorade,2
36348,22082,Case iced tea bottles,1
36349,22082,Large bottles powdered coffee creamer,3
36350,22082,Box misc food items,1
36351,22082,Case organic apricot jelly,1
36362,22074,Bakery,4
36363,22028,Deli,1
36364,22028,Eggs,2
36365,22026,Dairy,3
36366,22026,Frozen,3
36367,22058,Grocery carts bakery items,1
36371,22086,Boxes dairy,2
36387,22093,Cases of nacho chips,2
36395,22098,Gallons milk,7
36396,22098,Dz eggs,10
36399,22105,Boxes,2
36483,22116,Box of cookies & danish,1
36484,22118,Chips,3
36489,22152,Large bag bagels,1
36491,22129,Large bag bagels,1
36493,22159,Meats,6
36494,22125,"Crackers, soda",1
